FileName,Reference,Types
NE9KL000C,"Yang, L.J., Qu, Y.Y., Fu, Q.F., Gu, B., and Wang, F., Linear Stability Analysis of a Non-Newtonian Liquid Sheet, J. Propul. Power, vol. 26, no. 6, pp. 1212-1225, 2010.",TRADITIONAL REF
NE9KL000C,"Zong, N. and Yang, V., Cryogenic Fluid Dynamics of Pressure Swirl Injectors at Supercritical Condi- tions, Phys. Fluids, vol. 20, no. 5, pp. 1-14, 2008.",TRADITIONAL REF
NE9LE000C,"Spicer, L.J., Aad, P.Y., Allen, D., Mazerbourg, S., Hsueh, A.J., 2006. Growth differentia- tion factor-9 has divergent effects on proliferation and steroidogenesis of bovine granulosa cells. J. Endocrinol. 189, 329-339. https://doi.org/10.1677/joe.1.06503.",TRADITIONAL REF
NE9LE000C,"Spicer, L.J., Aad, P.Y., Allen, D.T., Mazerbourg, S., Payne, A.H., Hsueh, A.J., 2008. Growth differentiation factor 9 (GDF9) stimulates proliferation and inhibits ster- oidogenesis by bovine theca cells: influence of follicle size on responses to GDF9. Biol. Reprod. 78, 243-253. https://doi.org/10.1095/biolreprod.107.063446.",TRADITIONAL REF
NE9LE000C,"Varnosfaderani, S.R., Ostadhosseini, S., Hajian, M., Hosseini, S., Khashouei, E.A., Abbasi, H., Hosseinnia, P., Nasr-Esfahani, M., 2013. Importance of the GDF9 signaling pathway on cumulus cell expansion and oocyte competency in sheep. Theriogenology 80, 470-478. https://doi.org/10.1016/j.theriogenology.2013.05.009.",TRADITIONAL REF
NE9NU000C,"Emeljanov AF. 1962. Materials on taxonomy of Palaearctic leafhoppers (Auchenorrhyn- cha, Euscelinae). Trudy Zoologicheskogo Instituta Akademii Nauk SSR, Leningrad 30:156~184.",TRADITIONAL REF
NE9NU000C,"Hashmi TR, Devi SR, Ahmad A, Meshram MM, Prasad R. 2018. Genetic sta- tus and endosymbionts diversity of Bemisia tabaci (Gennadius) on hosts be- longing to family malvaceae in India. Neotropical Entomology 48:207~218 DOI 10.1007/s13744-018-0639-y.",TRADITIONAL REF
NE9NU000C,Knight WJ. 1965. Techniques for use in the identification of leafhoppers (Homoptera: Cicadellidae). Entomology Gazette 16:129~136.,TRADITIONAL REF
NE9NU000C,"Meshram NM, Shashank PR, Sinha T. 2017. A new genus of leafhopper subtribe Paraboloponina (Hemiptera: Cicadellidae) with molecular phylogeny of related genera. PLOS ONE 12(5):e0177644 DOI 10.1371/journal.pone.0177644.",TRADITIONAL REF
NE9NU000C,"Nielson MW. 2002. The leafhopper vectors of phytopathogenic viruses (Homoptera, Cicadellidae): taxonomy, biology, and virus transmission. In: Fletcher J, Wayadande A, eds.Technical bulletin 1382. U.S. Department of Agriculture, Washington D.C. Fastidious vascular-colonizing bacteria. The Plant Health Instructor APS, U.S.A DOI 10.1094/PHI-I-2002-1218-02.",TRADITIONAL REF
NE9NU000C,Oman PW. 1949. The Nearctic leafhoppers (Homoptera: Cicadellidae) A generic classification and check list. Memoirs of the Entomological Society of Washington 3:1~253.,TRADITIONAL REF
NE9NU000C,"Viraktamath CA, Anantha Murthy HV. 1999. A revision of the leafhopper tribe Scaphy- topiini from India and Nepal (Insecta, Hemiptera, Cicadellidae, Deltocephalinae). Senckenbergiana Biologica 76(1):39~55.",TRADITIONAL REF
NE9NU000C,"Zhaniser JN, Dietrich CH. 2010. Phylogeny of the leafhopper subfamily Deltocephalinae (Hemiptera: Cicadellidae) based on molecular and morphological data with a revised family-group classification. Systematic Entomology 35(3):489~511 DOI 10.1111/j.1365-3113.2010.00.",TRADITIONAL REF
NE9OJ001C,"Babish, G., 2000, ""Geostatistics without tears: A pratical guide to geostatistics, Variograms and Kriging"", Regina, SK: Environment Canada : Ecological Research Division.",TRADITIONAL REF
NE9OJ001C,"Battan, L. J., 1973, ""Radar observation of the atmosphere"", The University of Chicago Press.",TRADITIONAL REF
NE9OJ001C,"Delobbe, L., Goudenhoofdt, E. and Mohymont, B., 2008, ""Improvement of quantitative recipitation estimates in Belgium"", in ERAD 2008- The Fifth European Conference on Radar in Meteorology and Hydrology.",TRADITIONAL REF
NE9OJ001C,"Erdin, R., 2009, ""Combining rain gauge and radar measurements of a heavy precipitation event over Switzerland"", Vero- effentlichungen der MeteoSchweiz, MeteoSwiss, Nr.81.",TRADITIONAL REF
NE9OJ001C,"Filho, P. A. J., 2004, ""Integrating gauge, radar and satellite rainfall"", WWRP International Precipitation Working Group Workshop, CGMS-WMO, Monterey, CA, USA.",TRADITIONAL REF
NE9OJ001C,"Giarno, 2014, ""Syaratkeakuratanmetodekombinasiruntunwaktu"", Tesis, Universitas Hassanuddin.",TRADITIONAL REF
NE9OJ001C,"Giarno, Hadi, M. P., Suprayogi, S. and Murti, S. H., 2018a, ""Distribution of accuracy of TRMM daily rainfall in Makassar Strait"", Forum Geografi, 32, 1, 38-52.",TRADITIONAL REF
NE9OJ001C,"Giarno, Hadi, M. P., Suprayogi, S. and Murti, S. H., 2018c, ""Daily quantitative precipitation estimates use weather radar reflectivity in South Sulawesi"", IOP Conference Series: Earth and Environmental Science Yogyakarta. https://iopscience.iop.org/article/10.1088/1755-1315/256/1/012042/pdf.",TRADITIONAL REF
NE9OJ001C,"Giarno, Zadrach, L. D. and Mustofa, M. A., 2012, ""Kajian awalmusimhujan and awalmusimkemarau di Indonesia"", Jurnal Meteorologi and Geofisika, 1, 1-8.",TRADITIONAL REF
NE9OJ001C,"McKee, J. L., 2015, ""Evaluation of gauge-radar merging methods for quantitative precipitation estimation in hydrology: a case study in the Upper Thames River basin"", Tesis, The University of Western Ontario London, Ontario, Canada.",TRADITIONAL REF
NE9OJ001C,"Pulkkinen, S., Koistinen, J. and Kuitunen, T., 2014, ""Gauge-radar adjustment by using multivariate kernel regression and spatiotemporal kriging"", ERAD 2014- The Eighth European Conference on Radar in Meteorology and Hydrology.",TRADITIONAL REF
NE9OJ001C,"Sik, B., Bum, K. J., Hong, S., Kim, H. and Young, S., Y., 2007, ""Combining radar and rain gauge rainfall estimates for flood forecasting using conditional merging method"", In World Environmental and Water Resources Congress 2007 : Restoring Our Natural Habitat.",TRADITIONAL REF
NE9OJ001C,"Stout, G. T. and Mueller, E. A., 1968, ""Survey of relationships between rainfall rate and radar reflectivity in measurement precipitation"", J. App. Meteo., 7, 465-474.",TRADITIONAL REF
NE9OJ001C,"Xue, X., Hong, Y. and Limaye, A. S., 2013, ""Statistical and hydrological evaluation of TRMM-based Multi-satellite Precipitation Analysis over the Wangchu Basin of Bhutan: are the latest satellite precipitation products 3B42V7 ready for use in ungauged basins?"",",TRADITIONAL REF
NE9PR000C,IAEA Medical imAGIng and Nuclear mEdicine (IMAGINE). https://human-health.iaea.org/HHW/DBStatistics/IMAGINE.html,NON TRADITIONAL REF
NE9PR000C,International Association of Cancer Registries (GLOBOCAN). http://www.iacr.com.fr/index.php?option=com_content&view=article&id=101&Itemid=578,NON TRADITIONAL REF
NE9PR000C,Global cancer observatory. https://gco.iarc.fr/,NON TRADITIONAL REF
NE9PR000C,Genesee/Finger Lakes Region PET Capacity and Utilization Report December 2015. https://www.commongroundhealth.org/Media/Default/Publications/2015%20PET%20report%20FINAL-20160204040543.pdf,NON TRADITIONAL REF
NE9PR000C,World Bank Group. https://data.worldbank.org/,NON TRADITIONAL REF
NE9PR000C,World Health Organization (WHO). https://www.who.int/governance/eb/who_constitution_en.pdf,NON TRADITIONAL REF
NE9PU000C,"Dlugokencky, NOAA/ESRL, https://www.esrl.noaa.gov/gmd/ccgg/trends_ch4/, 2019.",NON TRADITIONAL REF
NF0XJ001C ,"Association des infirmieres ct infirmicrs du Canada (ABC) 2009 COMMERCE INTERNATIONAL ET MOBILITE DE LA MAIN DOEUVRE ENONCE DE POSITION OTTAWA . [haps:/ /www.cna-aii c.c /media /cna/ page-content/ pdf-fr ps103 international trade f.pdf?la=fr], consulte le 15 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"BLAIN, Marie-Jeanne 2015 tire nairlecin diploane a l'etranger au quebec : des parcours conirasies d'integration professionnelle, These de doctorat en anthropologic, Universite de Montreal. [https: / /papyrus.bib.umontreal.ca/ xmlui /bits tream / handle /1866/ 16001 / Blain_Maric-Jeanne_2015_These.pdf?sequence=5], consulte lc 26 janvier 2019. ",TRADITIONAL REF
NF0XJ001C ,"Bureau de la concurrence (BC) 2007LES PROFESSIONS AUTO REGLEMENTEES ATTEINDRE LEQUILIBRE ENTRE LA CONCURRENCE ET LA REGLEMENTATION, Gouvernement du Canada. ",TRADITIONAL REF
NF0XJ001C ,"CHASERANT, Camille et Sophie HARNEY 2015 Liberaliser ou reglementer les professions. Quelles justifications economi- ques? la vie des idiees. [http:/ /www.laviedesidees.fr /Liberaliser-ou-regle- menter-les-professions.html], consulte le 15 juillet 2016. ",TRADITIONAL REF
NF0XJ001C ,"Comite interministeriel sur la reconnaissance des competences des person nes immigrantes (ORCPI) 2017 RAPPORT DU COMITE INTERMINISTERIEL SUR IS RECONNAISSANCE DES COMPETENCES DES PERSONNES IMMIGRANTES, Gouvernement du Quebec. ",TRADITIONAL REF
NF0XJ001C ,"Commissaire a requite de I'Ontario (CEO) 2012 EVALUATION DES COMPETENCES,tp: fa' _commissionner.ca /index_ fr.php?page=about ent_projects petency_assessment], consulte le 17 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"Commissaire aux plaintes en matiere de reconnaissance des com.petences professionnelles (CPMRP) 2017 sYNTHESE DES ENJEUX LIES S LA CONCEPTION ET A LAPPLICATION DES MECANISMES DE RECONNAISSANCE DANS LE CADRE DE LADMISSION AUX PROFESSIONS, Office des professions du. Quebec. ",TRADITIONAL REF
NF0XJ001C ,"Commission d'enquC'te sur la same et le bier-Ctrs social (CESBES) 1970 LES PROFESSIONS ET LA SOCIETE RAPPORT DE LA COMMISSION DENQUETE SUR LA SANTE ET LE BIEN ETRE SOCIAL, Cinquieme partie, Volume VII, Tome I, Gouvernement du Que- bec. ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessiomlel du Quebec (CIQ) 2006 PRINCIPES EN MATIERE DE RECONNAISSANCE DE L'EQUIVALENCE DE DIPLOME ET DE FORMATION ACQUIS HORS DU QUEBEC, adopte par Bassemblee des membres le 10 fevrier 2006. ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec (CIQ) 2014 Ilistoire du systeme professionnel quebecois. [https:/ /professions-quebec.org/ ti p-content / uploads / 2014 / 08 / ClQ_Instoire_syst_professionnel_qc_2014-08. pdf], consults le 17 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec (CIQ) 2015 MEMOIRE RELATIF AU DOCUMENT VERS UNE POLITIQUE DIMMIGRATION DE DIVERSITE ET DINCLUSION PRESENTE Q LA COMMISSION DES RELATIONS AVEC LES CITYOYENS DE LA LASSEMBLEE NATIONA, consults. le 29 janvier 2015 ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec (CIQ) 2016a CANDIDATS A LEXERCICE DUNE PROFESSION FORMES HORS DU QUEBECStatistiques des ordres professionnels. [https:/ /professions-quebec.org/wp-content/ uploads/2017/06 /statistiques_equivalence_97-15-003.pdf], consults le 17 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec (CIQ) 2017 INTEGRATION PROFESSIONNELLE DES PERSONNES IMMIGRANTES AUX ORDRES PROFESSIONNELS QUELQUES CHIFFRES. [https:/ /professions-quebec.org/wp-content/ uploads/2017/06 / tableau_integration_pers_imm_fr_vf.pdfl, consults le 25 septembre 2017. ",TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec et Institut de recherche sur 'Integration professionnelle des immigrants (C1Q et IRIPI) 2016 L'acces des professionnelsformes is Petranger (PPP) is un premier emptyi dans une pro- fession reglementee, Rapport d'enquete (synthese), Groupe de travail sur racces des PEE a un premier emploi darn une profession. ",TRADITIONAL REF
NF0XJ001C ,"Conseil superieur de reducation (CSE) 2000 La reconnaissance des acquis, une responsabilitePOLITIQUE ET SOCIALE, Quebec ",TRADITIONAL REF
NF0XJ001C ,"Cint, Jean-Guy 2018 LA RECONNAISSANCE DES DIPLOMES OBTENUS A LETRANGER LUNE DES CLES DE LINTEGRATION DES IMMIGRANTS AU QUEBEC Montreal, Institut du Quebec. ",TRADITIONAL REF
NF0XJ001C ,"DL uors, Helene 2009 La mobilite professio e e : de la vision... a l'action, INFOLETTRE DE LADASUM 16 : 3-4. ",TRADITIONAL REF
NF0XJ001C ,"DUSSAULT, Rene et Louis BORGEAT 1975 LA REFORME DES PROFESSIONS AU QUEBEC Quebec, Office des professions du Quebec. ",TRADITIONAL REF
NF0XJ001C ,"Evalu@plan 2014 LEVALUATION DES COMPETENCES PROFESSIONNELLES TRAVAUX DETUDES, [http:/ /evaluathe- que.freeir/FICHIERS/evazone1-2.html], consulte le 15 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"FLUET, Claude 2001 LE SYSTEME PROFESSIONNEL QUEBECOIS UN CADRE DANALYSE, Etude presentee a l'Office des professions du Quebec, Quebec. ",TRADITIONAL REF
NF0XJ001C ,"Groupe de travail sur faeces aux professions et metiers reglementes (GTAPMR) 2005 LES PERSONNES IMMIGRANTES FORMEES A LETRANGER ET LACCES AUX PROFESSIONS ET METIERS REGLEMENTES, Quebec, Gouvernement du Quebec. ",TRADITIONAL REF
NF0XJ001C ,"GULTANO, Laura 2015 Occupational Licensing Today,COMMUNICATION A LA ANNUAL EDUCATIONAL CONFERENCE . [https:/ /www.clearhq.org/Resources/AEC 6,202015 6,2OPPT/ CLEAR_Iicensing_briefing_9-16-2015.pdf], consulte le 15 juillet 2017. ",TRADITIONAL REF
NF0XJ001C ,"HEBERT, Guillaume et Jennie-Laure SULLY 2015 Les ordres professionnels peuvent-ils garantir la protection du pUblic?, Note socioeconomique, IRIS, Montreal. [http://irisrecherche.s3.amazonaws.com/uploads/publication/file/OP_WEB.pdf], consulte le 17 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"HOULE, France 2015 Droit a Legalite, protection du public et acces pour les professionnels formes a l'etranger. Regard sou' l'Entente Quebec-France et sea Arrangements de recon- naissance mutuelle Revue Vie eccmomique, 7,1. [http://ve ce kv.eve.coop/mw- contenu/reyues/24/ 236 / RVE_vol7_nol_Houle.pdf], consulte le 15 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,Institut de la statistique du Quebec (ISQ) 2019 Resultat de l'Enquete sur la population active pour le Quebec. [http:/ / www.stat.gouv.qc.ca /statistiques/ tra v ail remuneration /resultatsepa201812. pda consulte le 20 janvier 2019. ,TRADITIONAL REF
NF0XJ001C ,"ISLAS, Veronica et Danielle GRATTON 2015 s L'insertion socioeconomique des immigrants avec dipliime imiversitaire au Quebec, Revue Vie economique,7,1. [ht tp: / / www.eVe.coop/?a=243], consulte le 17 mai 2017. ",TRADITIONAL REF
NF0XJ001C ,"LESSARD, Claude 2012 MODELES DUNIVERSITE ET CONCEPTIONS DE LA QUALITE POUR UNE UNIVERSITE PLURIELLE ET CAPABLE DEN TEMOIGNER ",TRADITIONAL REF
NF0XJ001C ,"LEVESQUE, Christian 2004 11 y a 30 ans La naissance du s>steine professionnel quebecois Le Devoir, 16 octobre 2004. [http: / /www-Jed evoincom / societe / actu al i tes-en-so- ciete /66187/il-y-a-30-ans-la-naissance-du-systeme-professionnel-quebecois], consulte le 15 rnai 2017. ",TRADITIONAL REF
NF0XJ001C ,"Moors, Carolyn 2003 High-Skill Migration of Trades and Professions: Regulatory Challenges and Considerations, Communication a la Conference annuelle du Council on Licen sure, Enforcen;ent and Regulation. ",TRADITIONAL REF
NF0XJ001C ,"MORIN, Sarah 2015 Le role des ordres professionnels dads l'integration des immigrants qualifies a tracers le processus de reconnaissance des acquis et des competences, Memoire de maitrise en relations industrielles, Universite Laval, Quebec. ",TRADITIONAL REF
NF0XJ001C ,"Office des professions du Quebec (OPQ) 1999 1 Office des professions du. Quebec 25 ans au service de sa mission protection du public, Anthologie commemorative 1974-1999, Quebec, juin 1999. ",TRADITIONAL REF
NF0XJ001C ,Office des professions du Quebec (OPQ) 2010Rapports annuels de gestion 20082009 a 20172018. [https:/ /www.opq.gouv.qc.ca/publications/rapports-annuels/ ]. Derniere consultation le 26 janvier 2019. ,TRADITIONAL REF
NF0XJ001C ,"Office des professions du Quebec (OPQ) 2012 Le role de surveillance de /'Office /is professions : un tournant guide par ractualisalion de Iu notion de protection du public, Rapport du Groupe de travail sur le role de surveillance de /'Office. ",TRADITIONAL REF
NF0XJ001C ,Office des professions du Quebec (OPQ) 2014 Rapport du comite de travail concernant les nouveaux modeles d'encadre- ment professionnel. Jan vier 2014 ,TRADITIONAL REF
NF0XJ001C ,"Office des professions du Quebec (OPQ) 2015 a Sommaire du plan strategique 20152019, Quebec. [https:/ / www.popq.gouv.qc.ca /publica tions / som aire-d u-pl an-strategique-2015-2019], consulte le 20 janvier 2019. ",TRADITIONAL REF
NF0XJ001C ,Office des professions du Quebec (OPQ) 2018b Rapport annuel du Pole de coordination pour l'acces a la formation 20172018 s. 2018. ,TRADITIONAL REF
NF0XJ001C ,"Office des professions et Ministere de I'Enseignement superieur, Recherche, Science et Tech- nologie (OPQ et MESRST) 2014 Formation et stases prescrits par les ordres professionnels tpdbecois, ETAT DE SITUATION PREPARE POUR LE POLE DE COORDINATION POUR LACCES A LA FORMATION PRESCRITE PAR LES ORDRES PROFESSIONNELS AINSI QUAUX STAGES. [https:/ /www.opq.gouv.qc.ca / fileadmin/documents / Professionnels_formes_hors_du_Que- -bec / Pole de coordination/Etat de situation-Pole -Formation stages.pda consulte le 15 juillet 2017. ",TRADITIONAL REF
NF0XJ001C ,"TtruOT, Jean-Francois 2018 Reconnaissance des acquis et des competences des immigrants : les dais derriere les mythes, dans : A. POITRAS (WT.), L'Etat du Quebec, Montreal, Del Busso. ",TRADITIONAL REF
NF0XJ001C ,"VELOSO, Luisa, Joao Freire, Noemia LOPES et Lulsa OLIVEIRA 2015 o Regulation, public interest and research in the professional field : The case of the health sector, Journal of Sociology, 5, 4 : 208-209. ",TRADITIONAL REF
NF0XJ001C ,Office des professions du Quebec (OPQ)20'18 Rapports annuels de gestion 20082009 a 20172018. [https:/ /www.opq.gouv.qc.ca/publications/rapports-annuels/ ]. Derniere consultation le 26 janvier 2019. ,TRADITIONAL REF
NF0XJ003C ,"ARBOCCHE, Marc 2008 Developpement des competences ethiques. One approche par Pethique des vertus Management et avenir, 20 : 115-128. ",TRADITIONAL REF
NF0XJ003C ,"BANKS, Sarah 2006 Values and Ethics in Social Work, Basignstoke, Palgraye-Macmillan. ",TRADITIONAL REF
NF0XJ003C ,"BANKS, Sarah et Ann GALLAGHER 2009 Ethics in professional life: Virtues for Health and Social Care, Basingstoke, Palgra ye-Macmillan. ",TRADITIONAL REF
NF0XJ003C ,"BEDDOE, Elizabeth 2013 Health social Work: Professional identity and knowledge, Qualitative Social Work, 12 (1) : 24-40. ",TRADITIONAL REF
NF0XJ003C ,"BERTHIAUME, Jean-Francois 2009 Role et contribution du travail social 'cal en hoopilau universilaire, These de docto- rat, Ecole de service social, Universite de Montreal, Montreal. ",TRADITIONAL REF
NF0XJ003C ,"BOILY, Yves 2014 Les paradoxes till travail social ell regard do la theorie de la complexit Continent recrXier le travail social au-dela de ses aberrations, These de doctoral, Universite Laval. ",TRADITIONAL REF
NF0XJ003C ,"CARPENTER, Margaret et Sheila PLATT 1997 ' Professional identity for clinical social workers: Impact of changes in health care delivery systems, Clinical Social Work Journal, 25, 3 : 337-350. ",TRADITIONAL REF
NF0XJ003C ,"CHARMAZ, Kathy 2000 o Grounded theory: Objectivist and constructivist methods, dans : Nor- mand K. Denzin et Yvonna S. Lincoln, Handbook of qualitative research. Second Edition, Thousand Oaks, Sage, p. 509-535. ",TRADITIONAL REF
NF0XJ003C ,"CRETE, Josianne, Annie PULLEN SANSFAc0N et Isabelle MARCITAND 2015 , L'identite professionnelle de travailleurs sociaux en devenir : de la formation a la pratique Service social, 61, 1: 43-55. ",TRADITIONAL REF
NF0XJ001C ,"Bureau de cooperation interimiversitaire (BC1) 2016 Menioire presenti; dans le cadre des consultations particulieres sur le projel de lei no 98, Loi modidiant ctiverses lois concernant principalement Vaitinission aux profes- sions reglenzentees. (file:/ / / C:/ Users/ prhd5/ Downloads/ 008m_bu reau_de_ coop%C3%A9ration_interuniversitaire%20(1).pdf), consulte le 15 juillet 2017. ",NON TRADITIONAL REF
NF0XJ001C ,"Commissaire aux plaintes en matiere de reconnaissance des com.petences professionnelles (CPMRP) 2016 Memoir(' du commissaire aux plaintes en matiere de reconnaissance dec competences professionnelles, presente a la commission des institutions de BAssemblee natio- nale du Quebec dans le cadre de la consultation sur le projet de loi no 98 Loi modifiant diverses lois concernant principalement l'adinission aux professions et la gouvernance du systeme professionnel, Quebec. ",NON TRADITIONAL REF
NF0XJ001C ,"Conseil interprofessionnel du Quebec (CIQ) 2016b Memoire sur le projet de lot no 98 ccmcenlunt lission 11.tx professions reglemen- tees et la gouvernance du system' professionnel, presente 5 la commission des institutions de l'Assemblee nationale du Quebec. [file: / / / C: / Users/prhd5/ Download.s/005m_con.seil_interprofessionel_du_qu%C3%A9bec%20(2).pdfl, consults le 22 mai 2107. ",NON TRADITIONAL REF
NF0XJ001C ,"Federal Trade Commission (FTC) 2014 Statement orr Competition and the Potential Costs and Benefits of Professional Licen sure Repre the Committee on Small Business, United States, House of Representa- tives, Washington D.C. [https:/ / www.ftc.gov /system/files/documents/pub- lic_statements /568171 /140716professionallicensurehouse.pdf], consulte le 15 mai 2017. ",NON TRADITIONAL REF
NF0XJ001C ,"Office des professions du Quebec (OPQ) 1987 Lc di.scours de 'Office des professions fie 1973 a 1987, Quebec. ",NON TRADITIONAL REF
NF0XJ001C ,"Office des professions du Quebec (OPQ) 2018a Nombre de membres selon le genre par ordre professionnel au 31 mars 2018. https:/ / www.opq.goity.qc.ca / fileadmin/ doc wrients /Systeme professionnel/ Statistiques/20172018/Membres_selon_sexe_20180331.pdf], consulte le 21 de- cembre 2018. ",NON TRADITIONAL REF
NF0XJ001C ,"Table de concertation des organismes au service des personnes refugiees et immigrantes ( TCOSPRI) 2016 Notes relatives au projet de loi 98 destines 5 la commission des institutions, Admission des immigrants aux ordres professionnels : le projet de loi 98 ou comment s'attaquer aux chainons manquants?. (file:/ / /C: / Users/ prhd5 / Downloads /043m_table_de_concertation_des_or- ganismes au service des personnes r`)/0C3%A9fugiT0C3T0A9es et immigran- tes'Yo20(1).pdf), consulte le 15 juillet 2017. ",NON TRADITIONAL REF
NF1EH000C ,"IARC/ WHO. 2018. Available at: <https://vvww.\,vho.int/ cancer/PRGlobocanFinatpdf> Access on: December 2018. ",NON TRADITIONAL REF
NF1EH000C ,IBGE - INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATiSTICA. 2019. Agricultural municipal production/PAM. ,NON TRADITIONAL REF
NF1EH000C ,INCA. 2019. Disponivel em: <https://www.inca.gov.br/tipos-de-cancer/cancer-de-mama> Acessado em: Janeiro de 2019. ,NON TRADITIONAL REF
NF1EH000C ,WHO-WORLD HEALTH ORGANIZATION. 2013. Available at: <http: //www.who.int/en/) Access on: February 2 ,NON TRADITIONAL REF
NF1PD002C ,"CRC. (1992, Dec. 28). Law 30. Diario oficial, 40700. http://www.secretariasenado.gov.co/senado/basedoc/ley_0030_1992.html. ",NON TRADITIONAL REF
NF1PD002C ,"CRC. (1994, Feb. 8). Law 115. Diario oficial, 41214. http://www.secretariasenado.gov.co/senado/basedoc/ley_0115_1994.html. ",NON TRADITIONAL REF
NF1PD002C ,"CRC. (2009, July 13). Law 1324. Diario oficial, 47409. http://www.secretariasenado.gov.co/senado/basedoc/ley_1324_2009.html. ",NON TRADITIONAL REF
NF1PD002C ,"CRC. (2015, June 9). Law 1753. Diario oficial, 49538. http://www.secretariasenado.gov.co/senado/basedoc/ley_1753_2015.html. ",NON TRADITIONAL REF
NF1PD002C ,"MEN. (2016, Feb. 3). Resolution 2041. Diario Oficial, 49.776. https://www.mineducacion.gov.co/1759/articles-356982_recurso_1.pdf. ",NON TRADITIONAL REF
NF1PD002C ,"MEN. (2017, Sep. 15). Resolution 18583. Diario oficial, 50357. http://www.imprenta.gov.co/diariop/diario2.indice?v_num=50.357 . ",NON TRADITIONAL REF
NF1PD002C ,"PRC. (2002, Jun. 19) Decree 1278. Diario oficial, 44840. https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5353. ",NON TRADITIONAL REF
